iter	Accuracy	Logloss
666	0.877875	0.2994474792
667	0.877875	0.2994464417
668	0.877875	0.2994286499
669	0.87775	0.2993848267
670	0.87775	0.2993790894
671	0.878125	0.2993341675
672	0.878125	0.299296814
673	0.87825	0.2992435913
674	0.87825	0.2992380371
675	0.878125	0.2991729431
676	0.878125	0.2991651001
677	0.878125	0.2991565857
678	0.878125	0.2991420898
679	0.87825	0.2991352844
680	0.878125	0.2990661621
681	0.878125	0.2990443115
682	0.878375	0.2989368286
683	0.878875	0.2988770447
684	0.8785	0.2988486938
685	0.8785	0.2988278503
686	0.8785	0.2988029175
687	0.878375	0.2987865906
688	0.8785	0.298776825
689	0.878625	0.2987289124
690	0.87875	0.2986927795
691	0.87875	0.2985947571
692	0.87875	0.2985942383
693	0.87875	0.2985921021
694	0.87875	0.2985168457
695	0.879	0.2984404907
696	0.879	0.2984208679
697	0.879	0.2983632813
698	0.879	0.298358551
699	0.879	0.2983547363
700	0.879	0.2983398438
701	0.878875	0.2982749023
702	0.87875	0.2982584229
703	0.87875	0.2981589355
704	0.87875	0.2981567993
705	0.87875	0.298064209
706	0.878875	0.2979602356
707	0.879	0.2979346313
708	0.878875	0.2978493652
709	0.878875	0.2978460388
710	0.87875	0.2977200928
711	0.87875	0.2976762085
712	0.878875	0.2976488037
713	0.878875	0.2976177979
714	0.878875	0.2976143494
715	0.879	0.2976101379
716	0.87875	0.2975717468
717	0.878875	0.2975695496
718	0.87875	0.2975545349
719	0.879	0.297544281
720	0.879125	0.2975053101
721	0.879	0.2974238586
722	0.879	0.2974212341
723	0.879	0.2974196167
724	0.879	0.2973791199
725	0.879125	0.2973449097
726	0.87925	0.2973120728
727	0.87925	0.2972204285
728	0.879125	0.2970710144
729	0.879125	0.2970682983
730	0.879125	0.2970476685
731	0.878875	0.296968689
732	0.879125	0.2968610229
733	0.87925	0.2968551636
734	0.879	0.296803894
735	0.879	0.2968023376
736	0.878875	0.2967880859
737	0.879125	0.2967168274
738	0.879	0.2967060242
739	0.879	0.2966603699
740	0.879	0.2966541138
741	0.879	0.2966073914
742	0.87925	0.2965681152
743	0.879125	0.2965645447
744	0.879125	0.2965100708
745	0.879125	0.296508728
746	0.879125	0.2964848022
747	0.879125	0.2964556885
748	0.879125	0.2964499817
749	0.879125	0.2964425964
750	0.879125	0.2964093628
751	0.87925	0.296399231
752	0.87925	0.2961997375
753	0.87925	0.2961144409
754	0.87925	0.2960513916
755	0.87925	0.2960278625
756	0.879375	0.2959577637
757	0.879625	0.2959399719
758	0.879625	0.2959396362
759	0.87975	0.2959246826
760	0.879625	0.2958883667
761	0.87975	0.2958850098
762	0.87975	0.2958491821
763	0.87975	0.2958466797
764	0.87975	0.2958410034
765	0.87975	0.2958328247
766	0.87975	0.2957711792
767	0.87975	0.2957678833
768	0.879875	0.295750061
769	0.87975	0.2957445068
770	0.87975	0.2957210999
771	0.87975	0.2956881714
772	0.880125	0.2956276855
773	0.88	0.2955944519
774	0.880125	0.2955335999
775	0.880125	0.295519104
776	0.880125	0.2954559937
777	0.880125	0.295441864
778	0.880125	0.295434845
779	0.88025	0.2954095459
780	0.88025	0.2953321838
781	0.880125	0.2953293762
782	0.880125	0.2953218994
783	0.880125	0.295318573
784	0.880125	0.2953033447
785	0.880125	0.2952780457
786	0.88025	0.2952477417
787	0.880375	0.2952071228
788	0.88025	0.295137146
789	0.88025	0.2950663147
790	0.880125	0.2950130615
791	0.880125	0.2949546814
792	0.880125	0.2949447021
793	0.88025	0.2949058228
794	0.880375	0.2948906555
795	0.880375	0.2948821716
796	0.880375	0.2948629456
797	0.88025	0.2948561707
798	0.88025	0.2948408203
799	0.880125	0.2948390503
800	0.880125	0.2948262634
801	0.880125	0.2948115234
802	0.880125	0.2948073425
803	0.880125	0.2947964478
804	0.880125	0.2947704468
805	0.88025	0.2947312317
806	0.88025	0.2947114563
807	0.88025	0.2946799316
808	0.88025	0.2946723938
809	0.88025	0.2946258545
810	0.880375	0.2945920105
811	0.88025	0.2944729919
812	0.88025	0.2944664307
813	0.88025	0.294449585
814	0.88025	0.2944375
